Time of Day,Day of the week,Weekend,Total Vehicle Count,Car_Bus_Count,Car_Truck_Count,Bus_Truck_Count,Predicted Speed
0.0,3.193548387096774,0.3225806451612903,44.83870967741935,10.258064516129032,358.33870967741933,22.016129032258064,70.701065
0.25,3.193548387096774,0.3225806451612903,42.61290322580645,10.806451612903226,337.2258064516129,19.580645161290324,71.875595
0.5,3.193548387096774,0.3225806451612903,41.435483870967744,12.32258064516129,315.85483870967744,23.85483870967742,67.58486
0.75,3.193548387096774,0.3225806451612903,42.16129032258065,8.17741935483871,334.0,15.5,81.8533
1.0,3.193548387096774,0.3225806451612903,41.564516129032256,22.725806451612904,315.7741935483871,26.516129032258064,69.87185
1.25,3.193548387096774,0.3225806451612903,44.564516129032256,11.580645161290322,360.69354838709677,19.032258064516128,72.38315
1.5,3.193548387096774,0.3225806451612903,41.564516129032256,9.935483870967742,312.5,22.887096774193548,68.58367
1.75,3.193548387096774,0.3225806451612903,41.983870967741936,10.564516129032258,326.1774193548387,20.06451612903226,65.45274
2.0,3.193548387096774,0.3225806451612903,44.37096774193548,16.43548387096774,364.1774193548387,23.70967741935484,72.235245
2.25,3.193548387096774,0.3225806451612903,43.58064516129032,11.741935483870968,340.0806451612903,25.693548387096776,68.98605
2.5,3.193548387096774,0.3225806451612903,42.403225806451616,8.516129032258064,331.0967741935484,19.516129032258064,73.48009
2.75,3.193548387096774,0.3225806451612903,42.806451612903224,8.548387096774194,332.4032258064516,19.403225806451612,73.335556
3.0,3.193548387096774,0.3225806451612903,43.03225806451613,11.161290322580646,335.258064516129,18.225806451612904,72.22985
3.25,3.193548387096774,0.3225806451612903,41.435483870967744,10.403225806451612,328.4516129032258,21.177419354838708,66.900505
3.5,3.193548387096774,0.3225806451612903,46.16129032258065,97.3225806451613,360.2741935483871,24.467741935483872,85.32714
3.75,3.193548387096774,0.3225806451612903,47.46774193548387,123.30645161290323,351.53225806451616,25.06451612903226,84.326675
4.0,3.193548387096774,0.3225806451612903,72.03225806451613,126.83870967741936,885.5483870967741,31.758064516129032,90.35486
4.25,3.193548387096774,0.3225806451612903,102.61290322580645,327.48387096774195,1112.3548387096773,61.88709677419355,88.69291
4.5,3.193548387096774,0.3225806451612903,103.96774193548387,310.38709677419354,1177.1451612903227,66.53225806451613,83.392296
4.75,3.193548387096774,0.3225806451612903,113.53225806451613,410.0967741935484,1405.8709677419354,83.40322580645162,65.67037
5.0,3.193548387096774,0.3225806451612903,107.33870967741936,317.11290322580646,1291.725806451613,54.983870967741936,74.33238
5.25,3.193548387096774,0.3225806451612903,107.20967741935483,380.61290322580646,1229.6290322580646,74.54838709677419,76.10586
5.5,3.193548387096774,0.3225806451612903,104.1774193548387,324.43548387096774,1179.6935483870968,63.11290322580645,83.59723
5.75,3.193548387096774,0.3225806451612903,133.32258064516128,1106.6935483870968,1124.2096774193549,110.04838709677419,64.03867
6.0,3.193548387096774,0.3225806451612903,164.40322580645162,2741.6935483870966,844.9193548387096,129.74193548387098,64.53565
6.25,3.193548387096774,0.3225806451612903,167.48387096774192,3018.6612903225805,782.258064516129,114.38709677419355,73.060135
6.5,3.193548387096774,0.3225806451612903,160.91935483870967,2765.0806451612902,780.9032258064516,130.66129032258064,67.01647
6.75,3.193548387096774,0.3225806451612903,162.38709677419354,2641.048387096774,789.8387096774194,111.70967741935483,67.37783
7.0,3.193548387096774,0.3225806451612903,160.6451612903226,2679.3387096774195,778.3387096774194,106.95161290322581,68.77886
7.25,3.193548387096774,0.3225806451612903,166.9516129032258,2995.3870967741937,831.6774193548387,123.19354838709677,51.022182
7.5,3.193548387096774,0.3225806451612903,160.43548387096774,2698.9032258064517,786.983870967742,127.40322580645162,68.77886
7.75,3.193548387096774,0.3225806451612903,165.6290322580645,2738.9193548387098,873.1935483870968,135.70967741935485,68.515045
8.0,3.193548387096774,0.3225806451612903,166.7258064516129,2823.435483870968,829.3064516129032,125.14516129032258,51.022182
8.25,3.193548387096774,0.3225806451612903,162.7258064516129,2873.1451612903224,742.6451612903226,113.09677419354838,51.017246
8.5,3.193548387096774,0.3225806451612903,164.93548387096774,2795.2741935483873,868.9516129032259,121.7258064516129,51.022182
8.75,3.193548387096774,0.3225806451612903,165.20967741935485,2865.3548387096776,810.5322580645161,120.7741935483871,51.156273
9.0,3.193548387096774,0.3225806451612903,141.2258064516129,2452.3387096774195,549.516129032258,149.8548387096774,70.511536
9.25,3.193548387096774,0.3225806451612903,119.2741935483871,1365.3387096774193,887.3709677419355,311.98387096774195,60.32835
9.5,3.193548387096774,0.3225806451612903,111.20967741935483,1097.241935483871,756.6774193548387,241.06451612903226,66.26997
9.75,3.193548387096774,0.3225806451612903,112.19354838709677,1198.741935483871,757.3709677419355,260.56451612903226,59.492218
10.0,3.193548387096774,0.3225806451612903,114.06451612903226,1294.1612903225807,810.5967741935484,302.64516129032256,59.488144
10.25,3.193548387096774,0.3225806451612903,117.75806451612904,1330.1451612903227,871.3548387096774,331.3709677419355,58.903095
10.5,3.193548387096774,0.3225806451612903,115.64516129032258,1132.725806451613,889.6774193548387,249.7741935483871,60.291756
10.75,3.193548387096774,0.3225806451612903,108.20967741935483,981.241935483871,1008.1935483870968,264.85483870967744,71.419815
11.0,3.193548387096774,0.3225806451612903,101.79032258064517,616.8387096774194,1123.9193548387098,192.9516129032258,80.19016
11.25,3.193548387096774,0.3225806451612903,104.20967741935483,622.9516129032259,1214.6129032258063,205.3548387096774,74.100494
11.5,3.193548387096774,0.3225806451612903,101.33870967741936,554.4516129032259,1161.0483870967741,199.4516129032258,73.58943
11.75,3.193548387096774,0.3225806451612903,101.7258064516129,551.016129032258,1102.0,194.3709677419355,75.852394
12.0,3.193548387096774,0.3225806451612903,104.95161290322581,623.8064516129032,1247.5967741935483,176.58064516129033,69.73338
12.25,3.193548387096774,0.3225806451612903,105.53225806451613,633.6774193548387,1275.8064516129032,190.70967741935485,66.71958
12.5,3.193548387096774,0.3225806451612903,101.08064516129032,660.741935483871,1079.1612903225807,203.53225806451613,76.0921
12.75,3.193548387096774,0.3225806451612903,100.06451612903226,594.5483870967741,1099.1612903225807,199.4516129032258,80.0148
13.0,3.193548387096774,0.3225806451612903,103.0,802.4677419354839,967.6935483870968,232.46774193548387,71.51118
13.25,3.193548387096774,0.3225806451612903,118.59677419354838,1187.774193548387,869.8387096774194,307.01612903225805,58.80067
13.5,3.193548387096774,0.3225806451612903,122.35483870967742,1325.225806451613,909.741935483871,278.9516129032258,59.08485
13.75,3.193548387096774,0.3225806451612903,129.7741935483871,1572.0,972.3870967741935,299.6290322580645,64.62184
14.0,3.193548387096774,0.3225806451612903,120.95161290322581,1246.5967741935483,866.9677419354839,273.8225806451613,61.46858
14.25,3.193548387096774,0.3225806451612903,118.85483870967742,1238.1612903225807,819.9032258064516,302.5483870967742,57.965153
14.5,3.193548387096774,0.3225806451612903,122.37096774193549,1321.5,883.483870967742,274.2903225806452,59.78237
14.75,3.193548387096774,0.3225806451612903,121.7741935483871,1370.5,860.9677419354839,268.03225806451616,59.40377
15.0,3.193548387096774,0.3225806451612903,112.61290322580645,1127.9516129032259,808.8064516129032,249.67741935483872,61.759193
15.25,3.193548387096774,0.3225806451612903,115.45161290322581,1274.4354838709678,901.2741935483871,273.33870967741933,61.911358
15.5,3.193548387096774,0.3225806451612903,106.64516129032258,1011.5322580645161,880.1774193548387,253.24193548387098,71.5947
15.75,3.193548387096774,0.3225806451612903,140.4516129032258,1810.241935483871,1231.1129032258063,249.2258064516129,62.58127
16.0,3.193548387096774,0.3225806451612903,180.01612903225808,3640.6290322580644,1256.9516129032259,296.7903225806452,22.892033
16.25,3.193548387096774,0.3225806451612903,175.8548387096774,3438.467741935484,1264.483870967742,290.53225806451616,22.892033
16.5,3.193548387096774,0.3225806451612903,175.3709677419355,3345.7258064516127,1268.3870967741937,290.96774193548384,23.365723
16.75,3.193548387096774,0.3225806451612903,178.01612903225808,3454.8709677419356,1273.8870967741937,279.56451612903226,23.709887
17.0,3.193548387096774,0.3225806451612903,174.96774193548387,3236.6290322580644,1327.1129032258063,278.83870967741933,24.302065
17.25,3.193548387096774,0.3225806451612903,175.03225806451613,3113.0806451612902,1313.3870967741937,267.88709677419354,24.665134
17.5,3.193548387096774,0.3225806451612903,174.83870967741936,3083.983870967742,1319.6774193548388,271.33870967741933,24.739325
17.75,3.193548387096774,0.3225806451612903,178.91935483870967,3392.5967741935483,1322.3548387096773,282.56451612903226,23.459042
18.0,3.193548387096774,0.3225806451612903,177.32258064516128,3395.6935483870966,1328.258064516129,296.64516129032256,24.170929
18.25,3.193548387096774,0.3225806451612903,172.98387096774192,3290.6774193548385,1269.8709677419354,280.93548387096774,23.919472
18.5,3.193548387096774,0.3225806451612903,154.40322580645162,2505.2741935483873,1273.225806451613,239.29032258064515,73.12264
18.75,3.193548387096774,0.3225806451612903,128.1451612903226,1045.4032258064517,1670.5483870967741,271.69354838709677,72.58954
19.0,3.193548387096774,0.3225806451612903,126.41935483870968,1082.4193548387098,1727.5645161290322,279.7741935483871,72.38071
19.25,3.193548387096774,0.3225806451612903,115.83870967741936,892.1290322580645,1497.0483870967741,247.01612903225808,67.90677
19.5,3.193548387096774,0.3225806451612903,119.98387096774194,909.8225806451613,1531.4193548387098,225.59677419354838,65.37442
19.75,3.193548387096774,0.3225806451612903,116.98387096774194,931.3064516129032,1562.8387096774193,271.9032258064516,67.42533
20.0,3.193548387096774,0.3225806451612903,118.95161290322581,947.7741935483871,1604.741935483871,257.0806451612903,65.55947
20.25,3.193548387096774,0.3225806451612903,118.75806451612904,1015.983870967742,1408.0967741935483,234.88709677419354,65.87682
20.5,3.193548387096774,0.3225806451612903,117.87096774193549,992.8387096774194,1533.016129032258,281.03225806451616,64.681465
20.75,3.193548387096774,0.3225806451612903,119.48387096774194,999.983870967742,1531.6290322580646,253.91935483870967,63.34019
21.0,3.193548387096774,0.3225806451612903,118.98387096774194,958.0483870967741,1552.8548387096773,250.74193548387098,63.00092
21.25,3.193548387096774,0.3225806451612903,119.19354838709677,895.4516129032259,1588.274193548387,234.11290322580646,67.22072
21.5,3.193548387096774,0.3225806451612903,120.46774193548387,974.2258064516129,1675.032258064516,264.1774193548387,68.933334
21.75,3.193548387096774,0.3225806451612903,83.51612903225806,534.3225806451613,1040.5645161290322,156.82258064516128,78.3169
22.0,3.193548387096774,0.3225806451612903,42.17741935483871,5.887096774193548,322.51612903225805,14.290322580645162,83.25831
22.25,3.193548387096774,0.3225806451612903,43.064516129032256,9.274193548387096,346.85483870967744,25.387096774193548,69.93663
22.5,3.193548387096774,0.3225806451612903,42.225806451612904,7.048387096774194,337.741935483871,15.403225806451612,79.376076
22.75,3.193548387096774,0.3225806451612903,42.88709677419355,9.53225806451613,338.80645161290323,23.741935483870968,71.06147
23.0,3.193548387096774,0.3225806451612903,43.25806451612903,8.161290322580646,348.43548387096774,21.451612903225808,71.957726
23.25,3.193548387096774,0.3225806451612903,41.064516129032256,9.290322580645162,315.1774193548387,21.322580645161292,73.78295
23.5,3.193548387096774,0.3225806451612903,43.225806451612904,8.903225806451612,336.16129032258067,23.612903225806452,74.52617
23.75,3.193548387096774,0.3225806451612903,41.53225806451613,9.887096774193548,330.9032258064516,25.338709677419356,79.56013
